"GEO_ID","NAME","C16009_001E","C16009_001M","C16009_002E","C16009_002M","C16009_003E","C16009_003M","C16009_004E","C16009_004M","C16009_005E","C16009_005M","C16009_006E","C16009_006M","C16009_007E","C16009_007M","C16009_008E","C16009_008M","C16009_009E","C16009_009M","C16009_010E","C16009_010M","C16009_011E","C16009_011M","C16009_012E","C16009_012M","C16009_013E","C16009_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages"
"0500000US48005","Angelina County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48021","Bastrop County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48027","Bell County, Texas","291685","2883","39858","4896","29429","4603","8664","2219","793","588","863","755","109","132","251827","5205","202199","5435","34751","3746","6530","2156","6714","1064","1633","1153"
"0500000US48029","Bexar County, Texas","1689028","3888","298070","13291","149567","9905","138377","9820","4317","1586","3212","1287","2597","1118","1390958","13810","857477","12608","486852","13004","18828","2967","23303","2153","4498","1718"
"0500000US48037","Bowie County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48039","Brazoria County, Texas","303174","1742","27024","4822","18463","3915","7223","2413","61","111","241","257","1036","1268","276150","5290","206495","6300","50426","5064","3454","1436","14054","2056","1721","2065"
"0500000US48041","Brazos County, Texas","181734","2516","50897","4974","39519","4247","7499","2346","722","404","2576","776","581","631","130837","5099","100153","4911","22470","3651","2880","1224","4945","1522","389","299"
"0500000US48061","Cameron County, Texas","379005","1193","128028","9272","22882","4573","105048","8179","0","211","0","211","98","134","250977","9289","61899","5229","186171","8319","698","523","1924","457","285","436"
"0500000US48085","Collin County, Texas","824183","1120","58705","6782","31392","4890","16835","4309","3985","1520","4937","1708","1556","1060","765478","6819","571993","9101","76683","6045","37276","4382","59436","5142","20090","5019"
"0500000US48091","Comal County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48099","Coryell County, Texas","55456","1929","7387","1649","6305","1601","879","570","90","106","113","142","0","211","48069","2227","42525","2495","3542","1326","1290","476","481","312","231","353"
"0500000US48113","Dallas County, Texas","2294577","4042","424300","17743","188624","9914","203084","13557","9852","2702","13328","2978","9412","2991","1870277","18440","1126114","13481","605477","13282","44716","4620","72317","4127","21653","4032"
"0500000US48121","Denton County, Texas","690763","2444","58801","6583","37195","4523","17425","4678","1433","979","2547","1128","201","228","631962","6642","501834","7856","78313","6715","20765","3023","27333","2657","3717","1636"
"0500000US48135","Ector County, Texas","138045","1307","12795","3304","5028","1230","7695","3071","0","211","72","122","0","211","125250","3421","72336","4047","50442","4064","710","554","1021","894","741","679"
"0500000US48139","Ellis County, Texas","146976","1053","15634","3588","8491","2431","6747","2673","120","205","276","318","0","211","131342","3750","106195","3446","23454","3185","961","615","303","252","429","632"
"0500000US48141","El Paso County, Texas","751073","2190","170769","11325","27449","4647","140656","9690","1237","1212","606","559","821","675","580304","11229","176213","8278","390152","10508","6829","2780","5934","1227","1176","563"
"0500000US48157","Fort Bend County, Texas","633210","1674","53175","8197","21718","5023","21983","5897","4706","4062","2475","1243","2293","1801","580035","8328","361714","10084","94019","8135","44523","7546","66196","6285","13583","3255"
"0500000US48167","Galveston County, Texas","286058","3589","41248","6213","28327","4986","11132","3172","665","490","1045","682","79","157","244810","7012","198643","6677","35101","4504","4431","1783","4982","1324","1653","1296"
"0500000US48181","Grayson County, Texas","113303","849","16925","3094","13055","2606","3021","1353","294","325","30","51","525","528","96378","3245","85546","2928","9581","1703","390","258","758","439","103","149"
"0500000US48183","Gregg County, Texas","110106","1009","19544","3383","15696","3129","3409","1607","17","33","422","601","0","211","90562","3553","73907","3254","14540","2314","785","590","1266","379","64","104"
"0500000US48187","Guadalupe County, Texas","136007","843","13968","3346","10664","2714","3262","1755","42","53","0","211","0","211","122039","3405","93714","4246","25562","3248","1520","682","1243","863","0","211"
"0500000US48201","Harris County, Texas","4054845","4762","675371","24862","279483","13034","342220","21460","16925","4100","21913","3710","14830","3825","3379474","24949","1978876","20356","1080218","22343","112525","11194","162552","7960","45303","6049"
"0500000US48203","Harrison County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48209","Hays County, Texas","167312","1775","36654","6162","21617","3964","14199","5221","280","296","558","491","0","211","130658","6118","97700","5072","29898","4547","1671","1175","1221","686","168","190"
"0500000US48213","Henderson County, Texas","74015","805","14610","2958","11965","2720","2550","1612","92","140","3","10","0","211","59405","3215","54301","2757","4214","1581","394","244","496","384","0","211"
"0500000US48215","Hidalgo County, Texas","740949","1535","239898","13178","20948","3347","218488","13194","124","210","338","405","0","211","501051","13410","89744","5310","403688","13029","2272","1213","4629","1726","718","1074"
"0500000US48231","Hunt County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48245","Jefferson County, Texas","219014","2602","44193","4179","32967","3753","9599","2779","405","444","944","582","278","322","174821","4448","137315","4475","28084","3620","4144","1374","4803","1276","475","512"
"0500000US48251","Johnson County, Texas","144264","1430","19453","3717","14526","3119","4631","1843","0","211","296","441","0","211","124811","3834","105660","3805","17272","2633","652","400","1065","490","162","194"
