"GEO_ID","NAME","C16009_001E","C16009_001M","C16009_002E","C16009_002M","C16009_003E","C16009_003M","C16009_004E","C16009_004M","C16009_005E","C16009_005M","C16009_006E","C16009_006M","C16009_007E","C16009_007M","C16009_008E","C16009_008M","C16009_009E","C16009_009M","C16009_010E","C16009_010M","C16009_011E","C16009_011M","C16009_012E","C16009_012M","C16009_013E","C16009_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages"
"0500000US48005","Angelina County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48021","Bastrop County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48027","Bell County, Texas","307244","1658","39425","5855","28795","5190","8797","3010","332","289","1330","874","171","209","267819","5813","219967","6834","33931","4178","5851","2225","6995","1771","1075","760"
"0500000US48029","Bexar County, Texas","1784706","2937","266456","14982","143726","10634","110064","10292","7947","3548","2726","1294","1993","1708","1518250","15170","940595","16044","524209","15592","21661","3928","24224","3309","7561","2598"
"0500000US48037","Bowie County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48039","Brazoria County, Texas","324245","2007","27618","5351","17436","3872","9679","3526","98","135","329","327","76","122","296627","5987","220043","7232","56164","5700","9455","2887","8868","2958","2097","1721"
"0500000US48041","Brazos County, Texas","192659","2611","49468","4910","37466","4410","8626","2424","1493","977","1773","1017","110","182","143191","5050","104128","4969","28413","3275","3583","1174","5853","962","1214","1001"
"0500000US48061","Cameron County, Texas","385587","860","103737","10501","22651","4978","80742","8713","228","240","0","225","116","161","281850","10549","87230","7892","191787","9788","1499","818","1334","388","0","225"
"0500000US48085","Collin County, Texas","904589","1227","53066","6607","28720","3520","12378","4125","4566","1904","5055","1691","2347","2704","851523","6683","610861","11705","91932","6744","57307","6910","72332","5399","19091","5616"
"0500000US48091","Comal County, Texas","131594","779","13050","3138","10066","2618","2518","1100","103","171","363","473","0","225","118544","3372","98966","3539","16238","2364","2413","830","827","404","100","175"
"0500000US48099","Coryell County, Texas","55792","1802","6800","1778","5520","1688","437","493","293","418","550","496","0","225","48992","2410","43755","2684","3440","1401","980","552","705","357","112","187"
"0500000US48113","Dallas County, Texas","2393114","2653","341281","18007","161535","11433","148908","11716","8591","2564","11966","2766","10281","3809","2051833","18746","1179764","16494","700729","16814","53193","5594","83436","6046","34711","6461"
"0500000US48121","Denton County, Texas","769872","2169","53172","5992","35581","4310","10938","2947","1451","857","3749","1882","1453","1245","716700","6371","549301","10314","93750","5987","27578","4717","32402","3641","13669","4042"
"0500000US48135","Ector County, Texas","141774","981","16747","4036","8021","2336","8036","3268","202","243","277","434","211","353","125027","4117","71391","4654","52050","4240","351","467","736","342","499","610"
"0500000US48139","Ellis County, Texas","159832","1131","11189","2805","8048","2361","3131","1551","10","22","0","225","0","225","148643","3076","120128","4105","26804","3019","743","579","376","380","592","673"
"0500000US48141","El Paso County, Texas","762167","2028","154042","12968","29975","3901","122871","11947","813","781","168","209","215","291","608125","13471","190334","8373","405068","13162","5780","1746","5169","1018","1774","1053"
"0500000US48157","Fort Bend County, Texas","705254","1529","56683","8712","28409","6138","16753","5637","2555","1375","5447","2049","3519","2183","648571","8990","396496","10641","106551","8016","61465","8484","66675","6725","17384","5360"
"0500000US48167","Galveston County, Texas","307023","1830","34486","5665","25030","4519","8355","3153","200","225","901","776","0","225","272537","5649","222667","5961","40309","4547","4038","1355","5002","1475","521","416"
"0500000US48181","Grayson County, Texas","120114","875","16511","3590","10756","2618","5177","2224","0","225","507","376","71","111","103603","3699","94432","2807","7972","2056","424","363","775","549","0","225"
"0500000US48183","Gregg County, Texas","109997","1364","17515","3451","11639","2375","5458","2596","148","247","270","358","0","225","92482","3816","79768","3120","11366","2728","457","372","891","838","0","225"
"0500000US48187","Guadalupe County, Texas","147524","831","14339","2965","9688","2303","4219","1876","105","167","313","249","14","28","133185","3090","105047","3681","25212","3507","967","534","1959","687","0","225"
"0500000US48201","Harris County, Texas","4253266","7697","648918","24919","270356","16510","330086","20092","14338","3404","18145","3514","15993","5437","3604348","26709","2070577","28967","1188081","21474","120023","9763","175838","10677","49829","9005"
"0500000US48203","Harrison County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48209","Hays County, Texas","194376","1679","27225","4693","19324","3418","7901","3005","0","225","0","225","0","225","167151","4820","125401","6439","36977","4408","2677","1228","1044","505","1052","1398"
"0500000US48213","Henderson County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48215","Hidalgo County, Texas","769754","1833","218837","14498","21759","4905","196597","14192","0","225","481","507","0","225","550917","14865","103808","7088","439598","14571","2160","1890","5046","1425","305","430"
"0500000US48231","Hunt County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48245","Jefferson County, Texas","220850","3602","39452","6543","26170","4986","7963","2877","719","351","2539","1614","2061","2016","181398","6622","146678","5521","27270","3837","1933","976","4188","1310","1329","901"
"0500000US48251","Johnson County, Texas","153797","1191","13288","3573","9930","2516","746","509","1725","2363","104","176","783","938","140509","3674","119790","4098","19697","2911","496","370","464","362","62","113"
