"GEO_ID","NAME","C16009_001E","C16009_001M","C16009_002E","C16009_002M","C16009_003E","C16009_003M","C16009_004E","C16009_004M","C16009_005E","C16009_005M","C16009_006E","C16009_006M","C16009_007E","C16009_007M","C16009_008E","C16009_008M","C16009_009E","C16009_009M","C16009_010E","C16009_010M","C16009_011E","C16009_011M","C16009_012E","C16009_012M","C16009_013E","C16009_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages"
"0500000US48005","Angelina County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48021","Bastrop County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48027","Bell County, Texas","285989","1653","39200","5271","29920","4490","7555","3251","1050","949","532","362","143","236","246789","5555","202874","6403","32212","3776","4082","1217","6612","1796","1009","913"
"0500000US48029","Bexar County, Texas","1622122","3103","295006","14867","139951","9623","146127","10525","2767","1335","3318","1219","2843","2059","1327116","15090","803796","14335","472517","12676","17244","3250","29112","3267","4447","2293"
"0500000US48037","Bowie County, Texas","81429","1696","15164","2474","14344","2439","749","572","71","118","0","206","0","206","66265","2657","62161","2422","2660","884","675","658","683","261","86","152"
"0500000US48039","Brazoria County, Texas","290421","1764","31774","4725","20501","3810","9386","2889","563","538","1324","1546","0","206","258647","5170","193475","6507","47383","5076","5916","2068","10670","2059","1203","1108"
"0500000US48041","Brazos County, Texas","174294","2654","50843","4674","35429","3918","10574","2348","1914","1074","2488","922","438","414","123451","4325","97759","3762","18756","2606","3190","1148","3746","1030","0","206"
"0500000US48061","Cameron County, Texas","375363","1369","129695","8713","24753","4717","104801","8252","38","61","0","206","103","148","245668","8684","67167","5687","174272","7823","2161","990","1530","754","538","600"
"0500000US48085","Collin County, Texas","772622","1448","60632","8844","36672","5881","14521","4203","2655","1153","4180","1912","2604","2013","711990","8869","545911","9560","67992","5789","40678","5667","46630","2993","10779","3279"
"0500000US48091","Comal County, Texas","107138","772","9716","2394","6341","1733","1920","987","1455","965","0","206","0","206","97422","2497","81352","3091","13898","2339","1096","555","998","345","78","127"
"0500000US48099","Coryell County, Texas","58021","1912","7828","1944","7262","1973","347","304","37","60","182","184","0","206","50193","2574","41691","2327","5680","1322","1942","913","742","408","138","161"
"0500000US48113","Dallas County, Texas","2230044","2447","410417","15244","190239","9226","195053","10026","6429","1860","11708","2982","6988","3350","1819627","15184","1110972","15064","572608","14273","45450","4303","71972","4517","18625","3613"
"0500000US48121","Denton County, Texas","645821","2141","56450","7046","39292","5345","11952","3197","1101","620","3121","1268","984","728","589371","7240","462295","8044","79646","5380","16723","2644","26969","2657","3738","1667"
"0500000US48135","Ector County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48139","Ellis County, Texas","141400","1099","13687","2729","7929","1970","5606","1871","0","206","12","25","140","177","127713","2872","104910","2952","21369","2573","417","282","904","284","113","187"
"0500000US48141","El Paso County, Texas","746442","2550","170451","9719","23687","3742","144984","9141","758","431","982","546","40","49","575991","10037","176140","7887","386211","9628","8148","2141","4205","1248","1287","920"
"0500000US48157","Fort Bend County, Texas","578676","1176","48267","8520","21492","6190","19217","4735","3305","2156","1611","910","2642","2813","530409","8482","326324","10580","94955","7068","46856","7258","49077","5576","13197","3450"
"0500000US48167","Galveston County, Texas","275011","1913","30452","3844","24054","3633","5593","1657","423","277","217","229","165","195","244559","4301","196861","5444","37102","3206","3821","1134","5573","991","1202","999"
"0500000US48181","Grayson County, Texas","111857","620","18131","3452","15219","2966","2282","1399","297","324","0","206","333","464","93726","3374","85532","2831","6623","1586","1151","860","406","386","14","24"
"0500000US48183","Gregg County, Texas","109970","868","20426","3946","16430","3331","3703","1743","190","189","103","160","0","206","89544","3847","75357","3537","12030","1776","804","576","1353","612","0","206"
"0500000US48187","Guadalupe County, Texas","128903","917","9410","2227","5836","1777","3401","1547","86","143","87","139","0","206","119493","2348","89344","3549","26583","3025","1909","764","1619","485","38","64"
"0500000US48201","Harris County, Texas","3876223","5098","689179","26506","290607","13628","348353","21296","15506","4263","26097","4613","8616","3598","3187044","27340","1916757","22711","996508","21509","92622","7084","143618","7244","37539","7084"
"0500000US48203","Harrison County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48209","Hays County, Texas","151351","1865","26451","4064","18114","3199","7955","2508","382","382","0","206","0","206","124900","3824","96531","4274","24682","3130","2129","1093","1470","683","88","109"
"0500000US48213","Henderson County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48215","Hidalgo County, Texas","719415","2020","238499","14841","16813","3821","221126","14326","560","745","0","206","0","206","480916","14700","92141","7249","380690","12896","1596","790","5887","938","602","504"
"0500000US48231","Hunt County, Texas","78559","1382","15565","2673","12462","2227","3070","1727","10","31","23","63","0","206","62994","3142","55305","2655","6308","1864","464","285","397","506","520","406"
"0500000US48245","Jefferson County, Texas","217877","3146","43135","4473","32752","3841","8232","2115","493","417","1535","972","123","164","174742","5614","140045","5747","24252","2549","4736","1641","5216","1468","493","534"
"0500000US48251","Johnson County, Texas","140203","1263","16960","3500","10699","2287","6227","2702","34","67","0","206","0","206","123243","3842","107055","3862","14243","2834","557","413","1245","422","143","173"
